"","file","shortName","group","exp","genotype","mouse","treatment","treatTime","stimulus","stimTime","seq_num"
"58","AA-082019-10","gso32.Bl6.IFNb.Rv.4.2","gso32.Bl6.IFNb.Rv.4","gso32","Bl6",2,"IFNb",4,"Rv",4,"GO01"
"59","AA-082019-11","gso32.Bl6.N.HK.4.2","gso32.Bl6.N.HK.4","gso32","Bl6",2,"N",0,"HK",4,"GO01"
"60","AA-082019-12","gso32.Bl6.IFNb.HK.4.2","gso32.Bl6.IFNb.HK.4","gso32","Bl6",2,"IFNb",4,"HK",4,"GO01"
"61","AA-082019-13","gso32.Bl6.N.N.24.1","gso32.Bl6.N.N.24","gso32","Bl6",1,"N",0,"N",24,"GO01"
"62","AA-082019-14","gso32.Bl6.IFNb.N.24.1","gso32.Bl6.IFNb.N.24","gso32","Bl6",1,"IFNb",4,"N",24,"GO01"
"63","AA-082019-15","gso32.Bl6.N.Rv.24.1","gso32.Bl6.N.Rv.24","gso32","Bl6",1,"N",0,"Rv",24,"GO01"
"64","AA-082019-16","gso32.Bl6.IFNb.Rv.24.1","gso32.Bl6.IFNb.Rv.24","gso32","Bl6",1,"IFNb",4,"Rv",24,"GO01"
"65","AA-082019-17","gso32.Bl6.N.HK.24.1","gso32.Bl6.N.HK.24","gso32","Bl6",1,"N",0,"HK",24,"GO01"
"66","AA-082019-18","gso32.Bl6.IFNb.HK.24.1","gso32.Bl6.IFNb.HK.24","gso32","Bl6",1,"IFNb",4,"HK",24,"GO01"
"67","AA-082019-19","gso32.Bl6.N.N.24.2","gso32.Bl6.N.N.24","gso32","Bl6",2,"N",0,"N",24,"GO01"
"68","AA-082019-20","gso32.Bl6.IFNb.N.24.2","gso32.Bl6.IFNb.N.24","gso32","Bl6",2,"IFNb",4,"N",24,"GO01"
"69","AA-082019-21","gso32.Bl6.N.Rv.24.2","gso32.Bl6.N.Rv.24","gso32","Bl6",2,"N",0,"Rv",24,"GO01"
"70","AA-082019-22","gso32.Bl6.IFNb.Rv.24.2","gso32.Bl6.IFNb.Rv.24","gso32","Bl6",2,"IFNb",4,"Rv",24,"GO01"
"71","AA-082019-23","gso32.Bl6.N.HK.24.2","gso32.Bl6.N.HK.24","gso32","Bl6",2,"N",0,"HK",24,"GO01"
"72","AA-082019-24","gso32.Bl6.IFNb.HK.24.2","gso32.Bl6.IFNb.HK.24","gso32","Bl6",2,"IFNb",4,"HK",24,"GO01"
